No;firm;year;sector;emp;wage;capital;output
1;1;1977;7;1.617604455;2.576543424;-0.528650226;4.56129352
2;1;1978;7;1.72276658;2.509745593;-0.459182391;4.578383638
3;1;1979;7;1.612433401;2.552526357;-0.389936306;4.601245484
4;1;1980;7;1.550748959;2.624951161;-0.482724194;4.610656111
5;1;1981;7;1.409278173;2.659538998;-0.678061523;4.600741373
6;1;1982;7;1.15246893;2.699217978;-0.860619558;4.591224363
7;1;1983;7;1.077048145;2.623102149;-0.936493465;4.605471141
8;2;1977;7;4.267162772;2.694012127;2.829459247;4.56129352
9;2;1978;7;4.257638996;2.646430084;2.847359925;4.578383638
10;2;1979;7;4.261524266;2.704938699;2.864558101;4.601245484
11;2;1980;7;4.277096554;2.74025921;2.871154959;4.610656111
12;2;1981;7;4.299853575;2.784819804;2.816204869;4.600741373
13;2;1982;7;4.282468682;2.780767621;2.787902183;4.591224363
14;2;1983;7;4.227096455;2.791477881;2.854721552;4.605471141
15;3;1977;7;2.952615982;3.122012395;1.959742581;4.56129352
16;3;1978;7;2.96733285;3.029834138;1.938295503;4.578383638
17;3;1979;7;2.990719732;3.054227571;1.925197122;4.601245484
18;3;1980;7;3.007660844;3.09995719;1.895323342;4.610656111
19;3;1981;7;2.973997781;3.213718589;1.82674047;4.600741373
20;3;1982;7;2.897292201;3.21264445;1.743024321;4.591224363
21;3;1983;7;2.824350657;3.364107996;1.99376111;4.605471141
22;4;1977;8;3.264231527;2.696537517;2.138912557;4.77256675
23;4;1978;8;3.286160572;2.697184718;2.168138951;4.788783408
24;4;1979;8;3.30615387;2.699722287;2.217778567;4.777709889
25;4;1980;8;3.326114576;2.723477256;2.241092563;4.717752164
26;4;1981;8;3.302076654;2.847980187;2.185365637;4.580406081
27;4;1982;8;3.19883637;2.960840525;2.127100125;4.523940564
28;4;1983;8;3.116267075;2.996007286;2.006212043;4.526171339
29;5;1976;7;4.462188589;3.026857761;3.108185576;4.552814232
30;5;1977;7;4.467056861;2.905709093;3.103253952;4.569582375
31;5;1978;7;4.465908119;2.897948537;3.225533613;4.593262561
32;5;1979;7;4.50424429;2.900850002;3.2328379;4.609993535
